trade_id,timestamp,symbol,direction,field_name,original_value,independent_value,absolute_difference,relative_difference,severity
USDJPY_BASE_27,2020-02-21 00:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_28,2020-02-24 07:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_29,2020-02-25 14:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_30,2020-03-02 23:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_31,2020-03-03 23:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_32,2020-03-05 15:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_33,2020-03-09 16:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_34,2020-03-11 12:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_35,2020-03-12 12:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_36,2020-03-16 00:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_37,2020-03-18 12:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_38,2020-03-19 04:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_39,2020-03-19 13:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_40,2020-03-24 04:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_PYR_41,2020-03-24 16:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_42,2020-03-31 22:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_43,2020-04-01 10:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_44,2020-04-02 11:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_45,2020-04-02 15:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_46,2020-04-08 05:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_47,2020-04-09 15:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_48,2020-04-10 16:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_49,2020-04-13 12:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_50,2020-04-16 16:00:00,GBPUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_51,2020-04-19 14:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_52,2020-04-20 06:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_53,2020-04-21 18:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_54,2020-04-27 06:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_55,2020-04-28 02:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_57,2020-05-04 02:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_58,2020-05-05 11:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_56,2020-05-02 11:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_60,2020-05-08 12:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_59,2020-05-06 22:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_61,2020-05-12 14:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_62,2020-05-13 11:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_63,2020-05-14 08:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_64,2020-05-17 15:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_65,2020-05-18 13:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_67,2020-05-21 16:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_66,2020-05-19 00:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_68,2020-05-26 06:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_69,2020-05-26 15:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_70,2020-05-28 15:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_PYR_71,2020-05-29 14:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_72,2020-06-03 12:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_73,2020-06-04 08:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_74,2020-06-05 04:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_75,2020-06-06 10:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_76,2020-06-08 17:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_77,2020-06-09 08:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_78,2020-06-09 16:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_79,2020-06-16 13:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_81,2020-06-19 10:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_80,2020-06-18 14:00:00,GBPUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_83,2020-06-22 14:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_84,2020-06-24 08:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_82,2020-06-21 18:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_85,2020-06-25 12:00:00,GBPUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_86,2020-06-29 23:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_87,2020-06-30 03:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_88,2020-07-01 17:00:00,GBPUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_89,2020-07-06 01:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_90,2020-07-06 15:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_91,2020-07-08 03:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_92,2020-07-08 14:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_93,2020-07-12 20:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_94,2020-07-13 01:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_95,2020-07-15 11:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_96,2020-07-16 15:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_97,2020-07-21 13:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_98,2020-07-22 12:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_99,2020-07-27 07:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_PYR_100,2020-07-27 13:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_101,2020-07-30 23:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_103,2020-08-03 01:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_102,2020-07-31 12:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_104,2020-08-06 17:00:00,GBPUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_105,2020-08-06 23:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_107,2020-08-11 06:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_106,2020-08-10 16:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_108,2020-08-12 17:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_110,2020-08-15 22:00:00,BTCUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_109,2020-08-14 08:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_111,2020-08-17 00:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_112,2020-08-17 23:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_113,2020-08-21 18:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_PYR_114,2020-08-25 11:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_115,2020-09-01 08:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
GBPUSD_BASE_116,2020-09-03 04:00:00,GBPUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_117,2020-09-03 13:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_118,2020-09-04 06:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_120,2020-09-06 15:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
